mu,round,local_epochs,client_i,client_j,cosine_similarity
0.1,7,5,1,4,-0.02486295998096466
0.1,7,5,2,3,-0.2618648111820221
0.1,7,5,2,4,0.22983039915561676
0.1,7,5,3,4,-0.07379790395498276
0.1,8,5,0,1,0.14038796722888947
0.1,8,5,0,2,-0.08624839037656784
0.1,8,5,0,3,-0.1406157910823822
0.1,8,5,0,4,0.16001874208450317
0.1,8,5,1,2,0.3957624137401581
0.1,8,5,1,3,-0.2601848244667053
0.1,8,5,1,4,-0.07706394046545029
0.1,8,5,2,3,-0.299600750207901
0.1,8,5,2,4,0.218952476978302
0.1,8,5,3,4,-0.1045907735824585
0.1,9,5,0,1,0.1366703063249588
0.1,9,5,0,2,-0.11444832384586334
0.1,9,5,0,3,-0.14572744071483612
0.1,9,5,0,4,0.11718633025884628
0.1,9,5,1,2,0.3700244426727295
0.1,9,5,1,3,-0.2709583640098572
0.1,9,5,1,4,-0.09094443172216415
0.1,9,5,2,3,-0.33032816648483276
0.1,9,5,2,4,0.20063087344169617
0.1,9,5,3,4,-0.14230552315711975
0.1,10,5,0,1,0.11785533279180527
0.1,10,5,0,2,-0.11369502544403076
0.1,10,5,0,3,-0.15529300272464752
0.1,10,5,0,4,0.07878093421459198
0.1,10,5,1,2,0.37056851387023926
0.1,10,5,1,3,-0.3262025713920593
0.1,10,5,1,4,-0.07601580023765564
0.1,10,5,2,3,-0.35301676392555237
0.1,10,5,2,4,0.20252183079719543
0.1,10,5,3,4,-0.14934475719928741
0.1,11,5,0,1,0.13759030401706696
0.1,11,5,0,2,-0.14436133205890656
0.1,11,5,0,3,-0.17568524181842804
0.1,11,5,0,4,0.09746880829334259
0.1,11,5,1,2,0.3368637263774872
0.1,11,5,1,3,-0.31684404611587524
0.1,11,5,1,4,-0.09027870744466782
0.1,11,5,2,3,-0.3570614755153656
0.1,11,5,2,4,0.19281335175037384
0.1,11,5,3,4,-0.19141313433647156
0.1,12,5,0,1,0.08429601788520813
0.1,12,5,0,2,-0.15324029326438904
0.1,12,5,0,3,-0.17927314341068268
0.1,12,5,0,4,0.09467623382806778
0.1,12,5,1,2,0.3445831537246704
0.1,12,5,1,3,-0.34380456805229187
0.1,12,5,1,4,-0.11456519365310669
0.1,12,5,2,3,-0.36278045177459717
0.1,12,5,2,4,0.15932394564151764
0.1,12,5,3,4,-0.17715959250926971
0.1,13,5,0,1,0.09754984825849533
0.1,13,5,0,2,-0.14399054646492004
0.1,13,5,0,3,-0.18151497840881348
0.1,13,5,0,4,0.059914350509643555
0.1,13,5,1,2,0.33639445900917053
0.1,13,5,1,3,-0.3424686789512634
0.1,13,5,1,4,-0.1165643110871315
0.1,13,5,2,3,-0.3758951723575592
0.1,13,5,2,4,0.1418272852897644
0.1,13,5,3,4,-0.18404202163219452
0.1,14,5,0,1,0.10234127193689346
0.1,14,5,0,2,-0.15820100903511047
0.1,14,5,0,3,-0.19162006676197052
0.1,14,5,0,4,0.048552464693784714
0.1,14,5,1,2,0.3230610191822052
0.1,14,5,1,3,-0.34783631563186646
0.1,14,5,1,4,-0.12609095871448517
0.1,14,5,2,3,-0.3815777599811554
0.1,14,5,2,4,0.12984588742256165
0.1,14,5,3,4,-0.1754852682352066
0.1,15,5,0,1,0.07321123778820038
0.1,15,5,0,2,-0.14627793431282043
0.1,15,5,0,3,-0.17818477749824524
0.1,15,5,0,4,0.05512279272079468
0.1,15,5,1,2,0.31024807691574097
0.1,15,5,1,3,-0.3414030373096466
0.1,15,5,1,4,-0.11542914062738419
0.1,15,5,2,3,-0.40231195092201233
0.1,15,5,2,4,0.19947004318237305
0.1,15,5,3,4,-0.2163873016834259
0.1,16,5,0,1,0.08071519434452057
0.1,16,5,0,2,-0.17328494787216187
0.1,16,5,0,3,-0.17965663969516754
0.1,16,5,0,4,0.062159691005945206
0.1,16,5,1,2,0.3216174244880676
0.1,16,5,1,3,-0.3712994158267975
0.1,16,5,1,4,-0.14502398669719696
0.1,16,5,2,3,-0.37909331917762756
0.1,16,5,2,4,0.11284907907247543
0.1,16,5,3,4,-0.18463356792926788
0.1,17,5,0,1,0.08580995351076126
0.1,17,5,0,2,-0.17300957441329956
0.1,17,5,0,3,-0.18851853907108307
0.1,17,5,0,4,0.041304636746644974
0.1,17,5,1,2,0.2999317944049835
0.1,17,5,1,3,-0.3574184477329254
0.1,17,5,1,4,-0.1408447027206421
0.1,17,5,2,3,-0.40793538093566895
0.1,17,5,2,4,0.1557786613702774
0.1,17,5,3,4,-0.19214652478694916
0.1,18,5,0,1,0.08168559521436691
0.1,18,5,0,2,-0.17228150367736816
0.1,18,5,0,3,-0.1885785311460495
0.1,18,5,0,4,0.04465511068701744
0.1,18,5,1,2,0.30122068524360657
0.1,18,5,1,3,-0.3593195378780365
0.1,18,5,1,4,-0.1457367092370987
0.1,18,5,2,3,-0.4100320637226105
0.1,18,5,2,4,0.10844167321920395
0.1,18,5,3,4,-0.18923264741897583
0.1,19,5,0,1,0.0737418606877327
0.1,19,5,0,2,-0.1815812885761261
0.1,19,5,0,3,-0.19820329546928406
0.1,19,5,0,4,0.03128563240170479
0.1,19,5,1,2,0.3189692795276642
0.1,19,5,1,3,-0.37275397777557373
0.1,19,5,1,4,-0.09009683132171631
0.1,19,5,2,3,-0.408195436000824
0.1,19,5,2,4,0.14554879069328308
0.1,19,5,3,4,-0.2296559363603592
0.1,20,5,0,1,0.08604463189840317
0.1,20,5,0,2,-0.2080221027135849
0.1,20,5,0,3,-0.20611657202243805
0.1,20,5,0,4,0.020082592964172363
0.1,20,5,1,2,0.30669596791267395
0.1,20,5,1,3,-0.3679482638835907
0.1,20,5,1,4,-0.14090588688850403
0.1,20,5,2,3,-0.35619187355041504
0.1,20,5,2,4,0.0491492860019207
0.1,20,5,3,4,-0.19578775763511658
1.0,1,5,0,1,0.23846398293972015
1.0,1,5,0,2,0.054130230098962784
1.0,1,5,0,3,0.19648322463035583
1.0,1,5,0,4,0.24247145652770996
1.0,1,5,1,2,0.6510308980941772
1.0,1,5,1,3,0.15565404295921326
1.0,1,5,1,4,0.14338745176792145
1.0,1,5,2,3,0.11025598645210266
1.0,1,5,2,4,0.32311761379241943
1.0,1,5,3,4,0.310776948928833
1.0,2,5,0,1,0.23153847455978394
1.0,2,5,0,2,-0.002016267739236355
1.0,2,5,0,3,0.14091281592845917
1.0,2,5,0,4,0.2804948091506958
1.0,2,5,1,2,0.6610924601554871
1.0,2,5,1,3,0.11814658343791962
1.0,2,5,1,4,0.12349383533000946
1.0,2,5,2,3,0.05728544667363167
1.0,2,5,2,4,0.34181272983551025
1.0,2,5,3,4,0.2820165753364563
1.0,3,5,0,1,0.21325236558914185
1.0,3,5,0,2,-0.03895077854394913
1.0,3,5,0,3,0.09612282365560532
1.0,3,5,0,4,0.289031445980072
1.0,3,5,1,2,0.6456307768821716
1.0,3,5,1,3,0.07176884263753891
1.0,3,5,1,4,0.10145813971757889
1.0,3,5,2,3,0.010272441431879997
1.0,3,5,2,4,0.3362569212913513
1.0,3,5,3,4,0.25721147656440735
1.0,4,5,0,1,0.17471401393413544
1.0,4,5,0,2,-0.05876019597053528
1.0,4,5,0,3,0.051517535001039505
1.0,4,5,0,4,0.2941676378250122
1.0,4,5,1,2,0.6467434167861938
1.0,4,5,1,3,0.018657078966498375
1.0,4,5,1,4,0.09068887680768967
1.0,4,5,2,3,-0.051207467913627625
1.0,4,5,2,4,0.3348081409931183
1.0,4,5,3,4,0.2141508311033249
1.0,5,5,0,1,0.22236180305480957
1.0,5,5,0,2,-0.08260448276996613
1.0,5,5,0,3,-0.004296665079891682
1.0,5,5,0,4,0.29236793518066406
1.0,5,5,1,2,0.5810893177986145
1.0,5,5,1,3,-0.016997290775179863
1.0,5,5,1,4,0.04731011018157005
1.0,5,5,2,3,-0.09784677624702454
1.0,5,5,2,4,0.33347439765930176
1.0,5,5,3,4,0.1328335851430893
1.0,6,5,0,1,0.18242397904396057
1.0,6,5,0,2,-0.1210772767663002
