mu,round,local_epochs,client_id,update_magnitude
1.0,12,5,0,0.2936236560344696
1.0,12,5,1,0.24328938126564026
1.0,12,5,2,0.24022898077964783
1.0,12,5,3,0.23725742101669312
1.0,12,5,4,0.21545399725437164
1.0,13,5,0,0.28242412209510803
1.0,13,5,1,0.23349922895431519
1.0,13,5,2,0.2371242791414261
1.0,13,5,3,0.2191815823316574
1.0,13,5,4,0.20589518547058105
1.0,14,5,0,0.2705421447753906
1.0,14,5,1,0.22249357402324677
1.0,14,5,2,0.23621593415737152
1.0,14,5,3,0.21775348484516144
1.0,14,5,4,0.19896237552165985
1.0,15,5,0,0.25871914625167847
1.0,15,5,1,0.2129146158695221
1.0,15,5,2,0.2235557585954666
1.0,15,5,3,0.2057616114616394
1.0,15,5,4,0.20241773128509521
1.0,16,5,0,0.2592104971408844
1.0,16,5,1,0.22285909950733185
1.0,16,5,2,0.21469102799892426
1.0,16,5,3,0.21212142705917358
1.0,16,5,4,0.18920499086380005
1.0,17,5,0,0.25226083397865295
1.0,17,5,1,0.20622491836547852
1.0,17,5,2,0.22042322158813477
1.0,17,5,3,0.2085607349872589
1.0,17,5,4,0.19098766148090363
1.0,18,5,0,0.24571411311626434
1.0,18,5,1,0.20238637924194336
1.0,18,5,2,0.22451815009117126
1.0,18,5,3,0.19690518081188202
1.0,18,5,4,0.18167999386787415
1.0,19,5,0,0.24811634421348572
1.0,19,5,1,0.19709788262844086
1.0,19,5,2,0.21062828600406647
1.0,19,5,3,0.19415771961212158
1.0,19,5,4,0.19014009833335876
1.0,20,5,0,0.24269357323646545
1.0,20,5,1,0.20195527374744415
1.0,20,5,2,0.2115119993686676
1.0,20,5,3,0.19020260870456696
1.0,20,5,4,0.17551730573177338
