mu,round,local_epochs,client_id,aggregate_alignment
0.1,11,5,1,0.37313422560691833
0.1,11,5,2,0.4429202079772949
0.1,11,5,3,0.4211758077144623
0.1,11,5,4,0.25529181957244873
0.1,12,5,0,0.22888661921024323
0.1,12,5,1,0.32799604535102844
0.1,12,5,2,0.4428658187389374
0.1,12,5,3,0.4203800559043884
0.1,12,5,4,0.2492341548204422
0.1,13,5,0,0.24330896139144897
0.1,13,5,1,0.34461715817451477
0.1,13,5,2,0.44174110889434814
0.1,13,5,3,0.397144615650177
0.1,13,5,4,0.22567218542099
0.1,14,5,0,0.22103652358055115
0.1,14,5,1,0.3351501226425171
0.1,14,5,2,0.4320671260356903
0.1,14,5,3,0.3988887667655945
0.1,14,5,4,0.22108139097690582
0.1,15,5,0,0.23391851782798767
0.1,15,5,1,0.3295644223690033
0.1,15,5,2,0.44706472754478455
0.1,15,5,3,0.36878111958503723
0.1,15,5,4,0.24930262565612793
0.1,16,5,0,0.22300675511360168
0.1,16,5,1,0.3115329146385193
0.1,16,5,2,0.4313408434391022
0.1,16,5,3,0.39476555585861206
0.1,16,5,4,0.20196138322353363
0.1,17,5,0,0.21647310256958008
0.1,17,5,1,0.3154281973838806
0.1,17,5,2,0.41882577538490295
0.1,17,5,3,0.3767893314361572
0.1,17,5,4,0.22899937629699707
0.1,18,5,0,0.21449381113052368
0.1,18,5,1,0.3185189366340637
0.1,18,5,2,0.41816842555999756
0.1,18,5,3,0.37301504611968994
0.1,18,5,4,0.2001672387123108
0.1,19,5,0,0.20125746726989746
0.1,19,5,1,0.3376193642616272
0.1,19,5,2,0.44097888469696045
0.1,19,5,3,0.3415675163269043
0.1,19,5,4,0.21650376915931702
0.1,20,5,0,0.18067802488803864
0.1,20,5,1,0.32492417097091675
0.1,20,5,2,0.437051385641098
0.1,20,5,3,0.3876040577888489
0.1,20,5,4,0.14616741240024567
1.0,1,5,0,0.4280615746974945
1.0,1,5,1,0.6250313520431519
1.0,1,5,2,0.63702791929245
1.0,1,5,3,0.7593305706977844
1.0,1,5,4,0.5547608137130737
1.0,2,5,0,0.4023610055446625
1.0,2,5,1,0.6258792281150818
1.0,2,5,2,0.6217093467712402
1.0,2,5,3,0.7267406582832336
1.0,2,5,4,0.5642578601837158
1.0,3,5,0,0.3801431953907013
1.0,3,5,1,0.6085155010223389
1.0,3,5,2,0.602780818939209
1.0,3,5,3,0.7001065611839294
1.0,3,5,4,0.5623555779457092
1.0,4,5,0,0.36494696140289307
1.0,4,5,1,0.5917425751686096
1.0,4,5,2,0.5852411389350891
1.0,4,5,3,0.661056399345398
1.0,4,5,4,0.5599526166915894
1.0,5,5,0,0.3657294511795044
1.0,5,5,1,0.5878390073776245
1.0,5,5,2,0.569908618927002
1.0,5,5,3,0.6089516282081604
1.0,5,5,4,0.5259885787963867
1.0,6,5,0,0.3289434611797333
1.0,6,5,1,0.5645835995674133
1.0,6,5,2,0.5527512431144714
1.0,6,5,3,0.5626723766326904
1.0,6,5,4,0.48978739976882935
1.0,7,5,0,0.33622151613235474
1.0,7,5,1,0.5238894820213318
1.0,7,5,2,0.5122120380401611
1.0,7,5,3,0.5431404709815979
1.0,7,5,4,0.4673667252063751
1.0,8,5,0,0.3349498212337494
1.0,8,5,1,0.4807736873626709
1.0,8,5,2,0.4822207987308502
1.0,8,5,3,0.5138036608695984
1.0,8,5,4,0.47042956948280334
1.0,9,5,0,0.29663607478141785
1.0,9,5,1,0.5064560174942017
1.0,9,5,2,0.4826570153236389
1.0,9,5,3,0.46157827973365784
1.0,9,5,4,0.4141404330730438
1.0,10,5,0,0.31273511052131653
1.0,10,5,1,0.4333030581474304
1.0,10,5,2,0.44789940118789673
1.0,10,5,3,0.4409147799015045
1.0,10,5,4,0.4428652226924896
1.0,11,5,0,0.27777621150016785
1.0,11,5,1,0.4663315415382385
1.0,11,5,2,0.4451677203178406
1.0,11,5,3,0.40129491686820984
1.0,11,5,4,0.3803800344467163
1.0,12,5,0,0.2773715853691101
1.0,12,5,1,0.37914836406707764
1.0,12,5,2,0.3732801675796509
1.0,12,5,3,0.4320733845233917
1.0,12,5,4,0.3771721124649048
1.0,13,5,0,0.2568033039569855
1.0,13,5,1,0.4334651231765747
1.0,13,5,2,0.4155033826828003
1.0,13,5,3,0.3724653720855713
1.0,13,5,4,0.30758583545684814
1.0,14,5,0,0.2524397671222687
1.0,14,5,1,0.3799504339694977
1.0,14,5,2,0.38187849521636963
1.0,14,5,3,0.3634333908557892
1.0,14,5,4,0.32557377219200134
1.0,15,5,0,0.2470342218875885
1.0,15,5,1,0.3918972313404083
1.0,15,5,2,0.4172707498073578
1.0,15,5,3,0.3079625070095062
1.0,15,5,4,0.395673543214798
1.0,16,5,0,0.23966701328754425
1.0,16,5,1,0.35065770149230957
1.0,16,5,2,0.31620779633522034
1.0,16,5,3,0.38561132550239563
1.0,16,5,4,0.23986509442329407
1.0,17,5,0,0.21330727636814117
1.0,17,5,1,0.3077312707901001
1.0,17,5,2,0.31064870953559875
1.0,17,5,3,0.33550238609313965
1.0,17,5,4,0.3354831337928772
1.0,18,5,0,0.21291100978851318
1.0,18,5,1,0.384186714887619
1.0,18,5,2,0.3394111394882202
1.0,18,5,3,0.29841241240501404
1.0,18,5,4,0.24873559176921844
1.0,19,5,0,0.17549815773963928
1.0,19,5,1,0.34006932377815247
1.0,19,5,2,0.37522828578948975
1.0,19,5,3,0.25034603476524353
1.0,19,5,4,0.39673924446105957
1.0,20,5,0,0.1464657038450241
1.0,20,5,1,0.4255148470401764
1.0,20,5,2,0.3787288963794708
1.0,20,5,3,0.3180576264858246
1.0,20,5,4,0.0592460036277771
