mu,round,client_id,reconstructed_aggregate_alignment,loo_aggregate_alignment,peer_aggregate_magnitude
0.0,18,4,0.19749991376415624,-0.12173893630845746,0.1559663475608354
0.0,19,0,0.18677556573955742,-0.2548160537092617,0.15666458807362388
0.0,19,1,0.30956984895290335,-0.13459577253177435,0.147978027209319
0.0,19,2,0.43302589853273477,-0.29390687400868126,0.14542170770681015
0.0,19,3,0.40677556755448707,-0.5465690755977188,0.16822278010705685
0.0,19,4,0.20041674645950594,-0.12751134086027982,0.1523212954551045
0.0,20,0,0.16800822060695822,-0.2755458162267544,0.15503805992407688
0.0,20,1,0.29653395198342436,-0.15393606148335592,0.14612697844769748
0.0,20,2,0.4226622506259035,-0.29967018156021547,0.14361749469979473
0.0,20,3,0.4357892402437706,-0.5390211866753108,0.16155209667432394
0.0,20,4,0.16049185291567075,-0.16564567746982353,0.15131581391862692
0.1,1,0,0.40990265587187025,0.25833472272832975,1.0573431649729887
0.1,1,1,0.6451425500017288,0.4896287078713384,0.9813145257447302
0.1,1,2,0.6738038392623551,0.41168668131994124,0.9079874280647062
0.1,1,3,0.7917318103562775,0.32347461966143937,0.7229524755890462
0.1,1,4,0.6402144819283172,0.5306672360017268,1.014969430913641
0.1,2,0,0.4302349569151218,0.26597380633128936,0.7173279557009853
0.1,2,1,0.6648772319495512,0.5088329694723384,0.6646487451031999
0.1,2,2,0.6816118177880851,0.42066019234266067,0.6178226912688439
0.1,2,3,0.7583961808084391,0.28991403621793166,0.521685440280535
0.1,2,4,0.6954239400591594,0.5938368605868255,0.6841465667173844
0.1,3,0,0.4043852103389324,0.20327519777229516,0.48168944793727153
0.1,3,1,0.620689729305996,0.43049805739437247,0.4479545203886268
0.1,3,2,0.6310981789469189,0.3186691439366944,0.4220135772445671
0.1,3,3,0.7021464076483176,0.1466729327871575,0.3711934119458831
0.1,3,4,0.6191481449906424,0.4934133734560618,0.4655672001036875
0.1,4,0,0.3833332343625361,0.14114764285225567,0.3515169537139366
0.1,4,1,0.5703366890604933,0.3430365122921072,0.3294835762201974
0.1,4,2,0.5828395310916457,0.21103264196073554,0.313220622761143
0.1,4,3,0.6410476025730745,-0.00039298783790240124,0.2891790493660943
0.1,4,4,0.5378940727005801,0.3839942478367572,0.3440029986436113
0.1,5,0,0.3698224892587892,0.08814141639032971,0.2748677917070764
0.1,5,1,0.5344396596381553,0.26728947826041827,0.2584791043034815
0.1,5,2,0.5470155083672936,0.11975768617915294,0.2484806225195772
0.1,5,3,0.5809835427779217,-0.12025247678445179,0.2416066617497208
0.1,5,4,0.45733944319699166,0.2713531459238901,0.2722823638483785
0.1,6,0,0.3267846991265506,0.010583983952439218,0.22976861391533465
0.1,6,1,0.48028849848669886,0.17913656073536346,0.21673347733762538
0.1,6,2,0.5128397570476456,0.03317012787891134,0.20881447223809718
0.1,6,3,0.542181742638104,-0.22901700636914998,0.209846702389005
0.1,6,4,0.40375547165121056,0.18631169368891837,0.22636988648270462
0.1,7,0,0.32272500232475787,-0.024953908414978174,0.1981699945984585
0.1,7,1,0.4286704658797775,0.08957075991831492,0.18986455142237468
0.1,7,2,0.4816461386511343,-0.038667200235052386,0.18356744459998034
0.1,7,3,0.5141132814165141,-0.30289557774413484,0.18837718809387752
0.1,7,4,0.3529642088436857,0.11451390179319265,0.19713286009729353
0.1,8,0,0.2983664518754881,-0.07193192475849805,0.17751048149836712
0.1,8,1,0.39538620115667644,0.032656466926150284,0.17047537095167448
0.1,8,2,0.465320394603958,-0.08576655804723791,0.16480107109400047
0.1,8,3,0.4901385594655899,-0.36057968069127594,0.1733516219865818
0.1,8,4,0.3306342364453763,0.06624894516839061,0.1754526532534799
0.1,9,0,0.278730326389176,-0.1080843388936068,0.1636867583248494
0.1,9,1,0.3996274889376154,0.009882880226588397,0.15533215734831557
0.1,9,2,0.4528193308851342,-0.1391724987668584,0.1525604278622408
0.1,9,3,0.46225986832898447,-0.404887709225968,0.16432429254997816
0.1,9,4,0.2849598662915627,0.0038700444579299617,0.16241897889572388
0.1,10,0,0.26328115966361115,-0.13954989475152887,0.15333261179349206
0.1,10,1,0.3611480532877318,-0.04709479693025213,0.1469258117199555
0.1,10,2,0.4498020142749599,-0.16643360502980042,0.14255317389343122
0.1,10,3,0.4425045429543846,-0.448604547121448,0.15791955195267315
0.1,10,4,0.28343152260789745,-0.011498806907126896,0.1509409463030924
0.1,11,0,0.2514444283375519,-0.16557860743223973,0.14529312634341066
0.1,11,1,0.37313424485208224,-0.05147339352806835,0.13753417566645734
0.1,11,2,0.4429202367785664,-0.20072709874332417,0.13548802508105218
0.1,11,3,0.42117574990035195,-0.4741672411051431,0.1525073641907064
0.1,11,4,0.2552918375366202,-0.05262492342171522,0.14333701861623438
0.1,12,0,0.22888660629889956,-0.2027157488167577,0.1403903456646129
0.1,12,1,0.3279960210123027,-0.10329064027547412,0.13412934293346565
0.1,12,2,0.44286575659460764,-0.22605773761516182,0.12998506426018136
0.1,12,3,0.4203800641392336,-0.49464142620359725,0.14744020324232326
0.1,12,4,0.24923409046683154,-0.0724200276260138,0.13712806648661638
0.1,13,0,0.24330895383033282,-0.2057030985986611,0.133502941884468
0.1,13,1,0.3446171572994813,-0.09770520071757628,0.127052554303797
0.1,13,2,0.4417410384300058,-0.2419078784636273,0.12454016299131009
0.1,13,3,0.39714458311918005,-0.5080039997742735,0.14351551610781182
0.1,13,4,0.22567215938211227,-0.10458982897942568,0.1319446230676236
0.1,14,0,0.22103647984925218,-0.22950519887834347,0.13059759465868914
0.1,14,1,0.3351502378926773,-0.11515712888220751,0.12361980574365825
0.1,14,2,0.4320671662268148,-0.26737136791475663,0.12198280978614942
0.1,14,3,0.3988887871867401,-0.5212645950945956,0.14004938194854397
0.1,14,4,0.22108137335015893,-0.11593199456549765,0.12797318722445392
0.1,15,0,0.23391851769189884,-0.2198496628764732,0.12661265545181072
0.1,15,1,0.3295643362528795,-0.12469809095607487,0.1208857239281901
0.1,15,2,0.4470647757786585,-0.2615692784532999,0.11773602892848338
0.1,15,3,0.36878109406463766,-0.5331761621281066,0.13957998785077333
0.1,15,4,0.24930258989763163,-0.0984391081161952,0.12362874279283154
0.1,16,0,0.223006714860917,-0.23590472900490675,0.1247588064151128
0.1,16,1,0.31153292023610457,-0.1577547957710715,0.119679021610538
0.1,16,2,0.43134082505814886,-0.2786240616243923,0.11683143270699516
